index,x_m,y_m,s_m,heading_rad,curvature_1pm
0,12.300000000,0.000000000,0.000000000,1.570796327,0.218124132
1,12.279915207,0.428824088,0.429294185,1.664333683,0.217174619
2,12.219899732,0.854498631,0.859178674,1.757190388,0.214382014
3,12.120665971,1.273933328,1.290192368,1.848715334,0.209905691
4,11.983386948,1.684155204,1.722774751,1.938312496,0.203985299
5,11.809675154,2.082364363,2.157224197,2.025459354,0.196908461
6,11.601553481,2.465986318,2.593664840,2.109716601,0.188976272
7,11.361418834,2.832719867,3.032023307,2.190729107,0.180472691
8,11.091999089,3.180579558,3.472015765,2.268219398,0.171641541
9,10.796304250,3.507931897,3.913144988,2.341975590,0.162672194
10,10.477572722,3.813524598,4.354706633,2.411835869,0.153692877
11,10.139213737,4.096508259,4.795803623,2.477671343,0.144769372
12,9.784747041,4.356450061,5.235367474,2.539368576,0.135906600
13,9.417740980,4.593339186,5.672185407,2.596812626,0.127050800
14,9.041750185,4.807583852,6.104932278,2.649870929,0.118090566
15,8.660254038,5.000000000,6.532206528,2.698378081,0.108855565
16,8.276597084,5.171791856,6.952569586,2.742121424,0.099112314
17,7.893932538,5.324524728,7.364588378,2.780827385,0.088557053
18,7.515169944,5.460090569,7.766880808,2.814148791,0.076806673
19,7.142927984,5.580666965,8.158164265,2.841653957,0.063390289
20,6.779493322,5.688670346,8.537307357,2.862819370,0.047747028
21,6.426786247,5.786704328,8.903385139,2.877029485,0.029240653
22,6.086333767,5.877504198,9.255737956,2.883589618,0.007209632
23,5.759250626,5.963878608,9.594033566,2.881761376,-0.018918682
24,5.446228590,6.048649631,9.918331147,2.870833624,-0.049413636
25,5.147534179,6.134592350,10.229143796,2.850243732,-0.083900356
26,4.863014842,6.224375154,10.527492928,2.819758727,-0.120920518
27,4.592113436,6.320501910,10.814943663,2.779706817,-0.157550022
28,4.333890682,6.425257167,11.093605922,2.731211339,-0.189400449
29,4.087055127,6.540655442,11.366084459,2.676331456,-0.211380678
30,3.850000000,6.668395609,11.635366251,2.617993878,-0.219261258
31,3.620846206,6.809821287,11.904648043,2.559656300,-0.211380678
32,3.397490591,6.965888011,12.177126580,2.504776417,-0.189400449
33,3.177658501,7.137137847,12.455788839,2.456280939,-0.157550022
34,2.958959585,7.323681969,12.743239574,2.416229029,-0.120920518
35,2.738945728,7.525191541,13.041588706,2.385744024,-0.083900356
36,2.515169944,7.740897129,13.352401355,2.365154132,-0.049413636
37,2.285245066,7.969596652,13.676698936,2.354226380,-0.018918682
38,2.046901063,8.209671757,14.014994546,2.352398138,0.007209632
39,1.798039829,8.459112319,14.367347363,2.358958271,0.029240653
40,1.536786372,8.715548614,14.733425145,2.373168386,0.047747028
41,1.261535370,8.976290574,15.112568237,2.394333799,0.063390289
42,0.970992168,9.238373370,15.503851694,2.421838965,0.076806673
43,0.664207409,9.498608477,15.906144124,2.455160371,0.088557053
44,0.340604588,9.753639259,16.318162916,2.493866332,0.099112314
45,0.000000000,10.000000000,16.738525974,2.537609675,0.108855565
46,-0.357385346,10.234177281,17.165800224,2.586116827,0.118090566
47,-0.730922066,10.452672528,17.598547095,2.639175130,0.127050800
48,-1.119577097,10.652064538,18.035365028,2.696619180,0.135906600
49,-1.521926649,10.829070800,18.474928879,2.758316413,0.144769372
50,-1.936177181,10.980606446,18.916025869,2.824151887,0.153692877
51,-2.360193987,11.103839696,19.357587514,2.894012166,0.162672194
52,-2.791536849,11.196242768,19.798716737,2.967768358,0.171641541
53,-3.227502050,11.255637266,20.238709195,3.045258649,0.180472691
